battlecruiser1              us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.166   34.16.119.104    RUNNING
bs2-20250427-153631         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.88    104.155.157.226  RUNNING
bs2-20250427-153633         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.89    108.59.84.16     RUNNING
bs2-20250427-153634         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.90    35.224.162.148   RUNNING
bs2-20250427-153635         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.91    34.58.206.198    RUNNING
bs2-20250427-153636         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.92    35.224.83.113    RUNNING
bs2-20250427-153843         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.115   34.45.253.79     RUNNING
bs2-20250427-165850         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.168   34.67.173.236    RUNNING
bs2-20250427-165852         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.169   34.70.49.1       RUNNING
bs2-20250427-165853         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.170   34.41.77.255     RUNNING
bs2-20250427-165854         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.171   34.56.107.178    RUNNING
bs2-20250427-165856         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.172   34.67.225.16     RUNNING
bs2-20250427-165859         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.173   34.10.96.78      RUNNING
bs2-20250427-183310         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.221   34.123.112.63    RUNNING
bs2-20250427-183313         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.222   34.60.176.24     RUNNING
bs2-20250427-183314         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.238   35.226.81.78     RUNNING
bs2-20250427-183317         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.239   34.10.10.131     RUNNING
bs2-20250427-183318         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.240   104.154.106.146  RUNNING
bs2-20250427-183325         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.241   34.122.38.58     RUNNING
bs2-20250428-083213         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.15.220  34.30.242.169    RUNNING
bs3-20250427-124218         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.15    34.28.237.70     RUNNING
bs3-20250427-124229         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.14    104.198.156.126  RUNNING
bs3-20250427-124254         us-central1-a  custom (n2, 12 vCPU, 6.00 GiB)               10.128.0.16    34.60.124.106    RUNNING
